[2016.10.15_01:42:37]: Polling 20 times per second
Starting camera with hflip=False, vflip=False, resolution=1920x1088, framerate=10

PRESS [ENTER] TO QUIT!

[2016.10.15_01:42:50]: STEER | TURNING: 94.7864583333
[2016.10.15_01:42:50]: obstc | Verified obstacle in 46.00cm
[2016.10.15_01:42:50]: motor | Last face detected 1.14s ago
[2016.10.15_01:42:50]: motor | Staying at full speed!
[2016.10.15_01:42:50]: motor | obstacle in: 46cm
[2016.10.15_01:42:50]: motor | Slowing down because of obstacle
[2016.10.15_01:42:50]: MOTOR | FINAL DECISION SENT: 88.8571428571
[2016.10.15_01:42:50]: steer | time since last face 1.22s
[2016.10.15_01:42:50]: STEER | TURNING: 94.7864583333
[2016.10.15_01:42:50]: obstc | Verified obstacle in 46.00cm
[2016.10.15_01:42:50]: motor | Last face detected 1.47s ago
[2016.10.15_01:42:50]: motor | Staying at full speed!
[2016.10.15_01:42:50]: motor | obstacle in: 46cm
[2016.10.15_01:42:50]: motor | Slowing down because of obstacle
[2016.10.15_01:42:50]: MOTOR | FINAL DECISION SENT: 88.8571428571
[2016.10.15_01:42:50]: steer | time since last face 1.57s
[2016.10.15_01:42:50]: STEER | TURNING: 94.7864583333
[2016.10.15_01:42:50]: obstc | Verified obstacle in 46.00cm
[2016.10.15_01:42:50]: motor | Last face detected 1.79s ago
[2016.10.15_01:42:50]: motor | Staying at full speed!
[2016.10.15_01:42:50]: motor | obstacle in: 46cm
[2016.10.15_01:42:50]: motor | Slowing down because of obstacle
[2016.10.15_01:42:50]: MOTOR | FINAL DECISION SENT: 88.8571428571
[2016.10.15_01:42:50]: steer | time since last face 1.82s
[2016.10.15_01:42:51]: STEER | TURNING: 94.7864583333
[2016.10.15_01:42:51]: obstc | Verified obstacle in 46.00cm
[2016.10.15_01:42:51]: motor | Last face detected 1.96s ago
[2016.10.15_01:42:51]: motor | Staying at full speed!
[2016.10.15_01:42:51]: motor | obstacle in: 46cm
[2016.10.15_01:42:51]: motor | Slowing down because of obstacle
[2016.10.15_01:42:51]: MOTOR | FINAL DECISION SENT: 88.8571428571
[2016.10.15_01:42:51]: steer | time since last face 1.99s
[2016.10.15_01:42:51]: STEER | TURNING: 94.7864583333
[2016.10.15_01:42:51]: obstc | Verified obstacle in 46.00cm
[2016.10.15_01:42:51]: motor | Last face detected 2.20s ago
[2016.10.15_01:42:51]: motor | Staying at full speed!
[2016.10.15_01:42:51]: motor | obstacle in: 46cm
[2016.10.15_01:42:51]: motor | Slowing down because of obstacle
[2016.10.15_01:42:51]: MOTOR | FINAL DECISION SENT: 88.8571428571
[2016.10.15_01:42:51]: steer | time since last face 2.23s
[2016.10.15_01:42:51]: STEER | TURNING: 94.7864583333
[2016.10.15_01:42:51]: obstc | Verified obstacle in 46.00cm
[2016.10.15_01:42:51]: motor | Last face detected 2.39s ago
[2016.10.15_01:42:51]: motor | Staying at full speed!
[2016.10.15_01:42:51]: motor | obstacle in: 46cm
[2016.10.15_01:42:51]: motor | Slowing down because of obstacle
[2016.10.15_01:42:51]: MOTOR | FINAL DECISION SENT: 88.8571428571
[2016.10.15_01:42:51]: steer | time since last face 2.43s
[2016.10.15_01:42:51]: STEER | TURNING: 94.7864583333
[2016.10.15_01:42:51]: obstc | Verified obstacle in 46.00cm
[2016.10.15_01:42:51]: motor | Last face detected 2.66s ago
[2016.10.15_01:42:51]: motor | Staying at full speed!
[2016.10.15_01:42:51]: motor | obstacle in: 46cm
[2016.10.15_01:42:51]: motor | Slowing down because of obstacle
[2016.10.15_01:42:51]: MOTOR | FINAL DECISION SENT: 88.8571428571
[2016.10.15_01:42:51]: steer | time since last face 2.72s
[2016.10.15_01:42:51]: STEER | TURNING: 94.7864583333
[2016.10.15_01:42:52]: obstc | Verified obstacle in 46.00cm
[2016.10.15_01:42:52]: motor | Last face detected 2.97s ago
[2016.10.15_01:42:52]: motor | Staying at full speed!
[2016.10.15_01:42:52]: motor | obstacle in: 46cm
[2016.10.15_01:42:52]: motor | Slowing down because of obstacle
[2016.10.15_01:42:52]: MOTOR | FINAL DECISION SENT: 88.8571428571
